"id","startTime","endTime","text","title"
"1",23006,26874,"Gentlemen, 1949 marksthe 25th anniversary...","Wayne's World"
"2",27043,29773,"...of the FBI as it exists today.","Wayne's World"
"3",30013,33915,"Like many another success story,this one had humble beginnings.","Wayne's World"
"4",34084,37815,"The first G-men worked understaggering disadvantages.","Wayne's World"
"5",37987,42549,"Do you realize that not many years ago,a fleeing kidnapper or bank robber...","Wayne's World"
"6",42726,47561,"...could take one step across a state lineand thumb his nose at us?","Wayne's World"
"7",47731,49824,"Often when we made an arrestwe had to walk...","Wayne's World"
"8",49999,52229,"...into a rain of hoodlummachine-gun fire...","Wayne's World"
"9",52402,55803,"...though we were forbidden by lawto carry a revolver.","Wayne's World"
"10",56206,58640,"But, gentlemen, the bureaudid have as weapons...","Wayne's World"
"11",58808,62175,"...truth, drive and vitality.","Wayne's World"
"12",62846,65474,"Even before the government armed uswith guns and laws...","Wayne's World"
"13",65648,68208,"...G- men became a dreadedunderworld whisper.","Wayne's World"
"14",68952,70977,"I'm going to take you backto those days...","Wayne's World"
"15",71154,74988,"...and show you a motion pictureabout a man named ""Brick"" Davis.","Wayne's World"
"16",75258,78386,"It's the daddy of all FBI pictures.","Wayne's World"
"17",78728,81697,"It's the first one that called us G-men.","Wayne's World"
"18",82098,84896,"The cars are old, you won't seewomen wearing the new look...","Wayne's World"
"19",85068,88299,"...but you will see somethingthat the bureau has never forgotten.","Wayne's World"
"20",88805,93037,"That while times changeand habits change and styles change...","Wayne's World"
"21",93209,95336,"...one thing is constant:","Wayne's World"
"22",95745,98873,"The man who want to get moreout of life than he puts into it...","Wayne's World"
"23",99048,100447,"...the hoodlum...","Wayne's World"
"24",100784,103514,"...he's the same today as he was then.","Wayne's World"
"25",103686,107554,"He is still a public enemy.All right, Vince.","Wayne's World"
"26",179562,184590,"Now, ladies and gentlemen of the jury,you must know what justice can mean...","Wayne's World"
"27",184767,187895,"...to a man who is defenselessbecause he is poor.","Wayne's World"
"28",188071,192167,"How would you feel ifa huge corporation bulldozed you...","Wayne's World"
"29",192342,193934,"...into selling your life's work...","Wayne's World"
"30",194110,198137,"...an invention that has madethem millions, and selling it for what?","Wayne's World"
"31",198314,201511,"A paltry $5000.","Wayne's World"
"32",201684,205484,"I ask you, ladies and gentlemen,to look upon my client.","Wayne's World"
"33",205655,208988,"A man who has stood silentlyat a workbench for years...","Wayne's World"
"34",209158,213857,"...planning, working,striving to create...","Wayne's World"
"35",249999,252524,"- Are you Davis?- Yeah, come in.","Wayne's World"
"36",252702,255136,"Glad to meet you.My name is Joseph Kratz.","Wayne's World"
"37",255305,258900,"- Oh, yes. Sixth Ward.- Oh, you know me, eh?","Wayne's World"
"38",259075,261771,"- Heard of you. Sit down.- Thanks.","Wayne's World"
"39",262912,267315,"Got a good case for you, Davis. One that'llmake you a lot of friends if you take it.","Wayne's World"
"40",267483,269508,"That's fine. What do you get out of it?","Wayne's World"
