"id","startTime","endTime","text","title"
"1",70480,73570,"Come on, champ. You ain't so bad!","Rocky IV"
"2",82490,88420,"Come on!","Rocky IV"
"3",89270,92490,"Come on!","Rocky IV"
"4",109290,111650,"You're out!","Rocky IV"
"5",115510,116290,"We made a deal.","Rocky IV"
"6",116300,118720,"I know, but this is extremely crazy.","Rocky IV"
"7",118720,121030,"Yeah, it's mentally irregular.","Rocky IV"
"8",121030,122720,"But it makes sense.","Rocky IV"
"9",122730,123920,"You owe me a favor.","Rocky IV"
"10",123930,126890,"I know, but when did you think of this?","Rocky IV"
"11",126900,128660,"About three years ago","Rocky IV"
"12",128670,130600,"This is very crazy, Apollo","Rocky IV"
"13",130610,131730,"Look, Stallion","Rocky IV"
"14",131740,134800,"you won that last fight by one second","Rocky IV"
"15",134810,136430,"You beat me by one second.","Rocky IV"
"16",136440,138550,"That's very hard for a man of my intelligence to handle","Rocky IV"
"17",138550,140350,"Is it? Didn't you say afterwards","Rocky IV"
"18",140350,142120,"you learned how to live with it?","Rocky IV"
"19",142120,144710,"I lied.You lied","Rocky IV"
"20",144720,147580,"So now you have to prove it to yourself?","Rocky IV"
"21",147590,149780,"Just for myself. No TV or newspapers,","Rocky IV"
"22",149780,150950,"just you and me.","Rocky IV"
"23",150960,153950,"Nothing. Just you and me.","Rocky IV"
"24",153960,155220,"Age before beautyAnything you say, son.","Rocky IV"
"25",155230,157490,"I do all the work.","Rocky IV"
"26",157500,159480,"You better go slow.","Rocky IV"
"27",159490,161860,"You ain't as young as springtime no more.","Rocky IV"
"28",161860,164360,"I'm still young enough to whip your butt.","Rocky IV"
"29",164370,165770,"Yeah? How will you do that?","Rocky IV"
"30",165780,168010,"You taught me everything you know.","Rocky IV"
"31",168010,169600,"Almost everything","Rocky IV"
"32",169610,171300,"Remember, you fight great","Rocky IV"
"33",171310,175150,"but I'm a great fighter, you ready","Rocky IV"
"34",175150,177440,"Absolutely.All right.","Rocky IV"
"35",177450,179010,"You know, Stallion.","Rocky IV"
"36",179020,182850,"It's too bad we have to get old, yeah?","Rocky IV"
"37",182860,186830,"Just keep punching, Apollo.","Rocky IV"
"38",187060,189090,"Want to ring the bell?","Rocky IV"
"39",189100,191500,"All right.","Rocky IV"
"40",193740,196240,"Come on!","Rocky IV"
"41",196310,198670,"Come on!","Rocky IV"
"42",198680,202070,"You really move good for an older guy.","Rocky IV"
"43",202080,204470,"Look at him fly.Look out.","Rocky IV"
"44",204480,207780,"No, you don't want any of this.","Rocky IV"
"45",208320,211720,"Maybe I'm in here with the wrong guy.","Rocky IV"
"46",231740,233400,"Dad, you're late.","Rocky IV"
"47",233410,236200,"Mom's going to yell at you.","Rocky IV"
"48",236210,238370,"How you doing? Fine.","Rocky IV"
"49",238380,242010,"Don't you think that's a little bright? A little bit.","Rocky IV"
"50",242020,244010,"Where'd you get that hat?","Rocky IV"
"51",244020,246180,"A friend gave it to me. Like it?","Rocky IV"
"52",246190,248550,"Who punched you in the eye?","Rocky IV"
"53",248560,249720,"Same friend.","Rocky IV"
"54",249730,252850,"That's weird. Better hurry, Dad","Rocky IV"
"55",252860,256190,"You know, you're developing a very loud personality.","Rocky IV"
"56",256200,259760,"Don't go too fast or you'll get out of focus","Rocky IV"
"57",259770,262890,"Really?","Rocky IV"
"58",266710,267770,"Yo.","Rocky IV"
"59",267780,269320,"Yo, It's about time.","Rocky IV"
"60",269320,271140,"I'm sorry I'm late.","Rocky IV"
"61",271150,273870,"Why don't you get ready to eat, ok?","Rocky IV"
"62",273880,277080,"You're here. Now stop calling him name","Rocky IV"
"63",277090,278910,"You been calling me names?","Rocky IV"
"64",278920,281610,"We wait any longer, it will be my next birthday","Rocky IV"
"65",281620,282720,"Where have you been?","Rocky IV"
"66",282730,284250,"Out getting punched.","Rocky IV"
"67",284260,285450,"Bring the cake in here,","Rocky IV"
"68",285460,287690,"and let's get the celebration underway.","Rocky IV"
"69",287690,289220,"I'm hungry.","Rocky IV"
"70",289230,291190,"Babe, get the cake. He'll love it.","Rocky IV"
"71",291200,292610,"We have a great surprise for you.","Rocky IV"
"72",292620,293960,"You'll love this cake, ok?","Rocky IV"
"73",293970,295260,"You'll love your present, Uncle Paulie.","Rocky IV"
"74",295260,296430,"Where is it?","Rocky IV"
"75",296440,299830,"Let me set the mood here. I have to turn the lights down.","Rocky IV"
"76",299840,300970,"Watch this","Rocky IV"
"77",300980,302670,"It's parked in the driveway?","Rocky IV"
"78",302680,305470,"Just be patient, would you?","Rocky IV"
"79",305480,308510,"I'm so excited, I'm sweating.","Rocky IV"
"80",308520,312380,"I feel like I'm going into a big fight.","Rocky IV"
"81",323200,326130,"Happy birthday, Paulie.","Rocky IV"
"82",335480,336500,"What the hell is this?","Rocky IV"
"83",336510,337800,"Your present.","Rocky IV"
"84",337810,340420,"I wanted a sports car for my birthday.","Rocky IV"
"85",340420,342070,"not a walking trash can.","Rocky IV"
"86",342070,343680,"Come on, he looks great here.","Rocky IV"
"87",343680,344840,"This is extremely psycho.","Rocky IV"
"88",344850,347610,"Since you don't have any friends, we thought you'd like it.","Rocky IV"
"89",347620,350750,"Yeah. Pretend you're happy. It'll keep you company when you're all alone.","Rocky IV"
"90",350760,352150,"That's a great-looking guy.","Rocky IV"
"91",352160,353720,"Please make a wish","Rocky IV"
"92",353730,355690,"It's creepy! That thing talks!","Rocky IV"
"93",355700,359120,"Creepy? These things are great! I wish I had one when I was growing up.","Rocky IV"
"94",359130,360390,"Make a wish, like he said.","Rocky IV"
"95",360400,362460,"I wish I wasn't in this nightmare.","Rocky IV"
"96",362470,364560,"A very classy wish.","Rocky IV"
"97",364570,366130,"What do you think?","Rocky IV"
"98",366140,368130,"Very good.","Rocky IV"
"99",368140,370300,"Want to help me put out this forest fire?","Rocky IV"
"100",370310,371340,"Sure.","Rocky IV"
"101",371350,373940,"On the count of three. One","Rocky IV"
"102",373950,375340,"Two","Rocky IV"
"103",375350,377380,"Three","Rocky IV"
"104",379990,381680,"They're out.","Rocky IV"
"105",381690,383550,"You drowned me!","Rocky IV"
"106",383560,385380,"Don't worry.","Rocky IV"
"107",385390,391490,"I'll clean it up for you, Paulie.","Rocky IV"
"108",393640,394660,"Rocky.","Rocky IV"
"109",394670,396230,"Yeah, you noticed.","Rocky IV"
"110",396240,398770,"What are you doing with that cake?","Rocky IV"
"111",398780,401900,"The party ain't over yet.","Rocky IV"
"112",401910,403420,"Still got to celebrate.","Rocky IV"
"113",403430,404900,"It's a special night.","Rocky IV"
"114",404900,406510,"Yeah, it's Wednesday.","Rocky IV"
"115",406520,408740,"It's definitely Wednesday.","Rocky IV"
"116",408750,410680,"but in case you forgot.","Rocky IV"
"117",410690,413990,"it's almost been nine years since you married me.","Rocky IV"
"118",413990,416150,"so here's your prize.","Rocky IV"
"119",416160,418050,"But our anniversary's a week away.","Rocky IV"
"120",418060,421120,"That's true. But why wait?","Rocky IV"
"121",421130,424490,"Has it been that rough? No.","Rocky IV"
"122",425000,427460,"It's been excellent.","Rocky IV"
"123",427470,429560,"Open your prize. Go on.","Rocky IV"
"124",429570,431500,"All right.","Rocky IV"
"125",434280,435840,"Do you like it?","Rocky IV"
"126",435850,438940,"It's beautiful.All right.","Rocky IV"
"127",439320,441270,"I was so nervous. I didn't know.","Rocky IV"
"128",441280,442740,"I hope you like it.","Rocky IV"
"129",442750,444940,"The guy I bought it from says.","Rocky IV"
"130",444950,447920,"even if it looks like a snake, don't worry.","Rocky IV"
"131",447920,450860,"It won't bite you.","Rocky IV"
"132",450860,453860,"It's beautiful.","Rocky IV"
"133",454330,456560,"You know what's amazing?","Rocky IV"
"134",456570,458490,"After all these years.","Rocky IV"
"135",458500,462130,"everything still seems kind of new.","Rocky IV"
"136",462140,465270,"You remember a long time ago I told you that","Rocky IV"
"137",465280,468240,"you ain't never getting rid of me.","Rocky IV"
"138",468240,471340,"remember that?","Rocky IV"
"139",471340,474610,"You're not.","Rocky IV"
"140",474620,477550,"You're never getting rid of me.","Rocky IV"
"141",479560,483280,"Happy almost anniversary.","Rocky IV"
"142",496610,498330,"Can you answer a few questions?","Rocky IV"
"143",498340,499700,"How long you here for?","Rocky IV"
"144",499710,501000,"We talk later, please.","Rocky IV"
"145",501010,502470,"When are you fighting, Drago?","Rocky IV"
"146",502480,504240,"We talk it later.","Rocky IV"
"147",504250,506000,"Is it definite the Soviet Union","Rocky IV"
"148",506010,508250,"will enter professional boxing?","Rocky IV"
"149",508250,508740,"Please, no more talk now.","Rocky IV"
"150",508750,510960,"We will talk at press conference.","Rocky IV"
"151",510970,513310,"Do you know where it will be held?","Rocky IV"
"152",513320,515390,"We talk it later.","Rocky IV"
"153",526140,528830,"Today may have proved to be a landmark in sports history.","Rocky IV"
"154",528840,530860,"After unraveling years of red tape,","Rocky IV"
"155",530870,533330,"Russia will now throw its hat into the ring.","Rocky IV"
"156",533340,534630,"The prize ring, that is.","Rocky IV"
"157",534640,537700,"The introductions were made by his wife Ludmilla Vobet Drago.","Rocky IV"
"158",537710,539670,"She was the double gold medalist in swimming.","Rocky IV"
"159",539680,543710,"Today the Soviet Union has officially entered professional boxing.","Rocky IV"
"160",543720,548210,"My husband and great undefeated heavyweight world amateur champion","Rocky IV"
"161",548220,549980,"Captain Ivan Drago.","Rocky IV"
"162",549990,552350,"has come with his trainers to America","Rocky IV"
