"id","startTime","endTime","text","title"
"1",13469,16547,"- USS Kelvin, go for Starfleet base.- Starfleet Base.","Star Trek"
"2",16581,18380,"We sent you a transmission.Did you receive it?","Star Trek"
"3",18432,19834,"Kelvin, can you double-check those readings?","Star Trek"
"4",19868,22541,"Our gravitational sensors are going crazyhere. You should see this.","Star Trek"
"5",22575,23984,"It looks like a lightning storm.","Star Trek"
"6",24018,25639,"What you've sent us doesn't seem possible.","Star Trek"
"7",25674,27777,"Yes mam, I understand.That's why we sent it.","Star Trek"
"8",28369,30856,"- Report.- Still out of visual range. 20 seconds.","Star Trek"
"9",30946,35115,"Alert captain Robau that Starfleet advised toproceed with caution ...","Star Trek"
"10",35149,36515,"Polarize the view screen.","Star Trek"
"11",36532,39116,"- Whatever this is... Klingon origin?- Captain, we have visual.","Star Trek"
"12",39117,42276,"- Repeat. Could this be Klingon?- Negative, lieutenant.","Star Trek"
"13",42311,44135,"You're 75 000 kilometersfrom the Klingon border.","Star Trek"
"14",44136,46461,"Captain, are you seeing this?","Star Trek"
"15",48411,50332,"My God.","Star Trek"
"16",70079,72267,"I have a reading.They've locked weapons on us!","Star Trek"
"17",72295,73387,"Red alert!","Star Trek"
"18",73388,75994,"Torpedo locked on us at 320�- 2!Arm weapons!","Star Trek"
"19",78797,80259,"Evasive pattern delta 5!","Star Trek"
"20",82205,83608,"We're being cut like grass.","Star Trek"
"21",89257,92104,"Fire all phasers!Damage report.","Star Trek"
"22",92155,94960,"Warp drive's been knocked out.Never seen anything like this.","Star Trek"
"23",96135,98359,"Weapons offline.Main power at 38%.","Star Trek"
"24",98360,100509,"- They're firing another!- All power to forward shields!","Star Trek"
"25",109073,110922,"Help me ...","Star Trek"
"26",114776,117089,"... maneuver has been lost.","Star Trek"
"27",117090,118069,"Are shields even on?","Star Trek"
"28",118070,120013,"... decks 17 and 13, we haveconfirmed casualties.","Star Trek"
"29",120014,122642,"11% and dropping. 10%.Shields at 9%.","Star Trek"
"30",122643,124665,"All remaining power to forward shields.","Star Trek"
"31",124743,126421,"Prepare shuttles for evacuation.","Star Trek"
"32",128859,131067,"Hello.","Star Trek"
"33",131068,133653,"My commander requests the presence ofyour captain","Star Trek"
"34",133654,136177,"in order to negotiate a ceasefire.","Star Trek"
"35",136208,141620,"You will come aboard our ship via shuttlecraft.Your refusal would be unwise.","Star Trek"
"36",154234,156678,"Walk with me.","Star Trek"
"37",161487,164669,"If I don't report in 15 minutesevacuate the crew.","Star Trek"
"38",164736,167468,"- Sir, we could ...- There is no outpost out here.","Star Trek"
"39",167558,171180,"Use autopilot and get off this ship.","Star Trek"
"40",171214,172632,"Aye captain.","Star Trek"
"41",172644,174961,"You're captain now, Mr. Kirk.","Star Trek"
"42",246318,248945,"His heart rate is elevated.","Star Trek"
"43",270034,271920,"Look at the ship.","Star Trek"
"44",273168,276914,"- Are you familiar with this craft?- Who is your commander?","Star Trek"
"45",277971,280955,"- Is that him?- I will speak for captain Nero.","Star Trek"
"46",280989,286760,"Then ask captain Nero:What gives him the right to attack a Federation vessel.","Star Trek"
"47",298873,302560,"Do you know the location ofambassador Spock?","Star Trek"
"48",304835,307672,"I'm unfamiliar withambassador Spock.","Star Trek"
"49",309073,312194,"- What is the current star date?- Star date?","Star Trek"
"50",313937,316374,"2233.04.","Star Trek"
"51",318381,319929,"Where are you from?","Star Trek"
"52",325835,327367,"Terminated.","Star Trek"
"53",327427,329244,"- Sir, they have a lock on our signal.- They're launching again.","Star Trek"
